CSID,Class
6733094,MATH  181 C
6733094,MATH  181 C
6733094,PG  103 B
6733094,SSI1  190 A
6733149,CHEM  110 C
6733149,CHEM  110 CA
6733149,FREN  201 C
6733149,GEOL  101 B
6733149,GEOL  101 BA
6733149,SSI1  138 C
6733184,IPE  201 A
6733184,MUS  280 A
6733184,PHYS  109 A
6733184,PHYS  109 AA
6733184,REL  204 A
6733184,SSI1  115 A
6733209,HIST  230 A
6733209,MATH  180 D
6733209,MATH  180 D
6733209,MUS  103 B
6733209,MUS  109 A
6733209,MUS  276 A
6733209,SSI1  160 A
6733246,BIOL  111 A
6733246,BIOL  111 AA
6733246,COMM  292 A
6733246,ENGL  212 A
6733246,IPE  201 C
6733246,SSI1  128 A
6733397,GERM  101 A
6733397,GQS  201 A
6733397,MUS  276 A
6733397,SSI1  118 A
6733433,JAPN  101 A
6733433,MUS  101 D
6733433,MUS  103 B
6733433,MUS  109 A
6733433,MUS  270 A
6733433,SSI1  175 A
6733672,CSCI  161 B
6733672,CSCI  161 BA
6733672,CWLT  100 A
6733672,ENGL  212 B
6733672,MATH  110 A
6733672,SSI1  187 A
6733732,ECON  170 D
6733732,REL  332 A
6733732,SPAN  101 G
6733732,SSI1  135 A
6733762,FREN  101 B
6733762,PSYC  101 B
6733762,SSI1  118 B
6733784,CHEM  110 A
6733784,CHEM  110 AB
6733784,MATH  180 C
6733784,MATH  180 C
6733784,MUS  276 A
6733784,SPAN  201 E
6733784,SSI1  128 C
6733837,CHEM  115 A
6733837,CHEM  115 AB
6733837,HIST  291 B
6733837,PE  101 A
6733837,SSI1  144 A
6733881,CHEM  110 B
6733881,CHEM  110 BA
6733881,ECON  170 A
6733881,SPAN  101 F
6733881,SPAN  101 F
6733881,SPAN  101 F
6733881,SSI1  181 A
6733892,BIOL  111 B
6733892,BIOL  111 BC
6733892,CHEM  110 D
6733892,CHEM  110 DA
6733892,PE  107 A
6733892,PSYC  101 A
6733892,SSI1  138 C
6733924,CHEM  110 F
6733924,CHEM  110 F
6733924,CHEM  110 FB
6733924,LTS  200 B
6733924,MUS  126 A
6733924,PE  107 A
6733924,SSI1  165 A
6734016,FREN  101 A
6734016,IPE  201 C
6734016,PSYC  101 D
6734016,SSI1  104 B
6734036,BIOL  111 C
6734036,BIOL  111 CA
6734036,CHEM  110 B
6734036,CHEM  110 BB
6734036,SOAN  101 C
6734036,SSI1  165 A
6734054,BIOL  111 C
6734054,BIOL  111 CA
6734054,CHEM  110 A
6734054,CHEM  110 AA
6734054,IPE  201 B
6734054,SSI1  117 A
6734092,ECON  170 G
6734092,PG  101 B
6734092,PG  103 B
6734092,SSI1  138 A
6734230,BIOL  111 A
6734230,BIOL  111 AA
6734230,PG  104 B
6734230,SPAN  201 H
6734230,SSI1  128 A
6734236,CHEM  110 B
6734236,CHEM  110 BB
6734236,PE  103 B
6734236,PSYC  101 B
6734236,SSI1  174 A
6734277,CHEM  115 A
6734277,CHEM  115 AB
6734277,ECON  170 A
6734277,FREN  210 A
6734277,MUS  276 A
6734277,SSI1  175 B
6734296,ARTS  147 A
6734296,CHEM  110 A
6734296,CHEM  110 AB
6734296,GEOL  101 B
6734296,GEOL  101 BA
6734296,SSI1  141 A
6734313,BIOL  111 C
6734313,BIOL  111 CB
6734313,CHEM  110 B
6734313,CHEM  110 BA
6734313,LAT  101 A
6734313,SSI1  124 A
6734336,CHEM  115 A
6734336,CHEM  115 AA
6734336,PE  107 A
6734336,PG  102 B
6734336,SPAN  300 B
6734336,SSI1  195 B
6734388,ECON  170 A
6734388,MATH  180 A
6734388,PE  107 A
6734388,SPAN  101 F
6734388,SPAN  101 F
6734388,SPAN  101 F
6734388,SSI1  160 A
6734596,CSCI  161 B
6734596,CSCI  161 BA
6734596,JAPN  101 B
6734596,SSI1  176 A
6734645,PG  101 A
6734645,SOAN  101 A
6734645,SPAN  101 F
6734645,SPAN  101 F
6734645,SPAN  101 F
6734645,SSI1  175 B
6734672,ECON  170 F
6734672,MATH  160 C
6734672,MATH  160 C
6734672,PHIL  101 A
6734672,SSI1  104 A
6734673,CHEM  110 A
6734673,CHEM  110 AB
6734673,CHIN  201 A
6734673,CHIN  201 GG
6734673,PG  101 A
6734673,SSI1  160 A
6734693,CHEM  110 F
6734693,CHEM  110 F
6734693,CHEM  110 FA
6734693,ECON  170 G
6734693,MATH  181 A
6734693,MATH  181 A
6734693,MATH  181 A
6734693,MUS  288 A
6734693,SSI1  141 B
